region,axonal_bifurcation_remote_angle_mean_zscore,axonal_length_mean_zscore,axonal_branches_mean_zscore,axonal_max_branch_order_mean_zscore,dendritic_bifurcation_remote_angle_mean_zscore,dendritic_length_mean_zscore,dendritic_branches_mean_zscore,dendritic_max_branch_order_mean_zscore
IC,0.6452596296125085,0.16353980501120208,1.1267579800502574,0.12568782834248507,1.4777287912666701,-0.2425863522653952,-0.8639327571678457,-0.9786057822703018
ICB,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IF,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IG,0.47383041448368274,-0.11968031053514422,-0.4097183024708879,-0.2075513273376061,-0.7363208253156232,-1.3346740136286526,-0.78073417984011,-0.8857514883783578
IGL,0.6357124392962896,-0.20446002905240765,-0.08431356492036916,0.532980129729263,-1.238378142777635,-0.13077948959692165,0.1751250307918764,-0.33894286879246593
III,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
ILA,0.7114862560448425,1.8282698596529872,0.31292666448211554,0.6126469816427473,0.4111150323358303,0.7887578455735078,-0.0745010103269694,0.5588177723340154
IMD,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IO,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IP,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IPN,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IRN,0.8473768645772694,1.2826858248400617,2.632108592023092,1.162431868236102,-0.18992052729422468,1.0010708137992597,-0.2094372821896578,-0.5143343128105823
ISN,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IV,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
IntG,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LA,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LAV,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LC,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LD,0.6271023692805756,0.8128728103922463,0.841675133891868,0.9155880492138122,-0.2391724558382111,1.5013420609817363,0.5763270592389578,-0.19450285607166448
LDT,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LGd,0.6206306943529503,0.026133364844039053,-0.043337660725123336,0.39185998413727485,-0.8276990554996522,0.051660633902337216,0.4465233249678866,-0.13065336257783297
LGv,0.7534387116901621,0.1593520999011348,0.17742502832678736,1.0606087928894075,-0.381137670037825,-0.211309147430639,0.19546246080532306,-0.2976742937293797
LH,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LHA,0.93332660364503,0.71488664977737,1.0024774945144843,1.5802268994226263,0.4792263180114257,-0.6268389669118521,-0.7955108316640701,-0.5497025235465917
LIN,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LING,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LM,0.8570418611460868,0.17796919496217264,0.3233027103191762,0.8507081535383592,2.0215671277995377,-1.102377728939523,-0.9439832802183157,-0.6423226638508293
LP,0.5895440193638279,0.4701135620258814,0.41405086465428403,0.755139566849324,-0.5068382123719966,0.8336941746950537,0.43396504914483214,-0.2357714311347505
LPO,0.9433859253190902,0.911348099194901,1.5208817304996436,1.9012929535953014,-0.05220998394072732,-0.3639980999331864,-0.7132995434797346,-0.49688049816923935
LRN,0.32917576198655224,0.4538755027346787,-0.16212774129114538,-0.02241846307088885,0.2232474427744298,-0.10569144794564564,-0.38692758048882736,-0.6690914692971554
LSc,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LSr,0.7147272256266414,0.8567515290925,0.12932171929758018,0.5700067025826066,-0.3283139195497503,-0.12887694037371683,-0.09850584575267671,-0.6071886067025262
LSv,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
LT,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MA,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MA3,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MARN,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MB,0.8574478629724531,0.8110704970523366,0.9925874759442826,1.3753346621428268,-0.30240527739473344,-0.35476129567843523,-0.7714898934703615,-0.70004290059447
MD,0.6666465276084175,1.2438068359943433,0.6636705514858006,1.0844811885448526,-0.41377456585575373,1.7756343217422772,1.1958888625672541,-0.09893352434662271
MDRNd,0.8324131026144056,-0.1360972203737426,-0.32907451968662893,-0.04093174949756051,1.4224684679433346,-0.7919756393640354,-0.89721218809894,-0.9786057822703018
MDRNv,1.0234883135440855,-0.12583560408205177,1.920462579032175,1.2920248732228041,-1.8559920861638484,1.159874327191644,-0.2981824313392425,-0.42148001891863834
ME,0.8330261069179554,-0.050442246446951354,-0.2202357301394523,0.9905227799884357,-0.025452644482492796,-1.9118180378094172,-1.2521927846972791,-1.3500229578380774
MEA,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MEPO,0.9111414364428045,0.17239572736235703,0.44623763760765073,1.8196535363829485,1.5817208982066628,-1.2742618654882096,-1.0414230554670152,-0.9476543509729871
MEV,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MG,0.5918012300326055,0.020887612304564443,0.0008318644307942647,0.5279310516128981,-0.7347623100113823,0.23773817451223025,0.2826949085489489,-0.15698596965067696
MH,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MM,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MOB,0.541393853736876,-0.6810903499529235,-0.5115841333562677,-0.2075513273376061,0.729593911944982,0.4314379245218363,-0.23162356947705393,0.13564574443302513
MOp,0.712249622040422,1.0678641507154578,0.20103170441346419,0.33082698600576704,-0.5665860339342405,1.579610055007777,0.577448497257583,0.8510804678627569
MOs,0.6716243026362277,1.9638888638752572,0.33406639726168635,0.3579708450493362,-0.4502747341425723,1.0019872068031381,0.3240054087625884,0.8391896836076876
MPN,0.9373836911210561,0.6914443860687989,1.248621104021967,2.091412002064018,0.801769690099876,-0.8654414381319161,-0.9652761498524846,-0.7527692081813528
MPO,0.9408852689952172,0.8642693724664385,1.5482547565262499,2.2131260605779857,0.12760371043867555,-0.6199991614908722,-0.8276925227731309,-0.5615875655740982
MPT,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MRN,0.8745010133203742,1.405024731246122,0.7391019014031177,1.3290514460761473,0.3236770831738823,-0.010761724698277419,-0.8639327571678457,-0.7928971944864139
MS,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MT,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
MV,0.43910672765667025,0.3034338713163376,-0.4182071217113362,-0.0964716087775757,-0.07766185049860676,1.2157052819805534,0.4006856182137378,-0.2357714311347505
MY,0.5326864953881999,0.05617878596524359,-0.3078524715855081,-0.1520114680575909,0.8486193734518467,-0.10737806936524465,-0.1555562987774098,-0.5010694136831617
NB,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
NDB,0.6581029704833945,0.16462973227310956,0.7320278853694107,0.7088563507826445,-0.8519115227766828,-1.0476967073702528,-0.9970504808922229,-0.9786057822703018
